,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,3,object_08,object_02,-1.0,-1,-1,-1.0,0.0,-,0,1,0,0,1,1,library_1,2,memory-2step-stake-s,505,1542058,0.0-19.0-0.0-0.0,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,6,5
1,2,object_10,object_07,761.69999998808,3,1,-1.0,0.0,1,object_03,5,0,0,1,2,forest_7,2,memory-2step-stake-s,506,1550591,0.0-19.0-0.0-0.1,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,3,4
2,2,object_07,object_10,1363.7000000179,4,1,1027.400000006,0.3333333333333333,2,object_06,1,3,0,3,3,forest_5,2,memory-2step-stake-s,507,1559159,0.0-19.0-0.0-0.2,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,4,3
3,4,object_09,object_05,1228.6999999881,7,2,1293.2999999821,0.6666666666666666,1,object_03,1,9,0,6,3,restaurant_4,2,memory-2step-stake-s,508,1568306,0.0-19.0-0.0-0.3,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,8,7
4,3,object_08,object_02,867.90000000596,6,1,852.89999997616,1.0,2,object_06,1,18,0,7,9,library_4,2,memory-2step-stake-s,509,1577328,0.0-19.0-0.0-0.4,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,6,5
5,1,object_01,object_04,1042.5,2,1,544.90000000596,1.0,2,object_06,5,63,0,6,9,desert_6,2,memory-2step-stake-s,510,1586041,0.0-19.0-0.0-0.5,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,2,1
6,1,object_04,object_01,1295.599999994,2,2,755.90000000596,0.8888888888888888,2,object_06,5,103,0,5,8,desert_5,2,memory-2step-stake-s,511,1594857,0.0-19.0-0.0-0.6,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,1,2
7,1,object_01,object_04,1016.099999994,2,1,420.40000000596,0.5555555555555556,2,object_06,5,128,0,4,5,desert_7,2,memory-2step-stake-s,512,1603031,0.0-19.0-0.0-0.7,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,2,1
8,3,object_02,object_08,815.20000001788,5,1,637.30000001192,0.4444444444444444,1,object_03,1,132,0,4,8,library_7,2,memory-2step-stake-s,513,1611320,0.0-19.0-0.0-0.8,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,5,6
9,1,object_04,object_01,639.0,1,1,406.90000000596,0.5555555555555556,1,object_03,5,157,0,5,8,desert_5,2,memory-2step-stake-s,514,1619481,0.0-19.0-0.0-0.9,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,1,2
10,3,object_02,object_08,1016.0,6,2,491.60000002384,1.0,2,object_06,1,166,0,5,9,library_8,2,memory-2step-stake-s,515,1628137,0.0-19.0-0.0-0.10,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,5,6
11,4,object_05,object_09,1107.2999999821,8,2,457.40000000596,0.5555555555555556,2,object_06,1,171,0,6,5,restaurant_4,2,memory-2step-stake-s,516,1636344,0.0-19.0-0.0-0.11,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,7,8
12,4,object_05,object_09,-1.0,-1,-1,-1.0,0.0,-,0,1,171,0,7,9,restaurant_4,2,memory-2step-stake-s,517,1642869,0.0-19.0-0.0-0.12,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,7,8
13,2,object_07,object_10,677.30000001192,3,2,481.19999998808,1.0,1,object_03,5,216,0,9,6,forest_8,2,memory-2step-stake-s,518,1651512,0.0-19.0-0.0-0.13,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,4,3
14,3,object_08,object_02,562.40000000596,6,1,390.30000001192,0.7777777777777778,2,object_06,5,251,0,8,7,library_7,2,memory-2step-stake-s,519,1659852,0.0-19.0-0.0-0.14,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,6,5
15,2,object_10,object_07,594.90000000596,4,2,505.59999999404,0.2222222222222222,2,object_06,1,253,0,8,2,forest_7,2,memory-2step-stake-s,520,1667800,0.0-19.0-0.0-0.15,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,3,4
16,4,object_09,object_05,1019.2000000179,7,2,420.39999997616,0.8888888888888888,1,object_03,5,293,0,8,2,restaurant_1,2,memory-2step-stake-s,521,1676281,0.0-19.0-0.0-0.16,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,8,7
17,4,object_05,object_09,954.70000001788,7,1,395.70000001788,0.4444444444444444,1,object_03,1,297,0,4,2,restaurant_1,2,memory-2step-stake-s,522,1684326,0.0-19.0-0.0-0.17,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,7,8
18,4,object_05,object_09,485.20000001788,8,2,520.80000001192,0.0,2,object_06,5,297,0,4,0,restaurant_4,2,memory-2step-stake-s,523,1692083,0.0-19.0-0.0-0.18,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,7,8
19,1,object_01,object_04,572.80000001192,2,1,484.80000001192,0.2222222222222222,2,object_06,1,299,0,5,2,desert_6,2,memory-2step-stake-s,524,1700005,0.0-19.0-0.0-0.19,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,2,1
20,1,object_04,object_01,438.69999998808,2,2,384.40000000596,0.5555555555555556,2,object_06,5,324,0,1,5,desert_7,2,memory-2step-stake-s,525,1708143,0.0-19.0-0.0-0.20,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,1,2
21,2,object_07,object_10,475.40000000596,4,1,497.5,0.2222222222222222,2,object_06,5,334,0,2,2,forest_7,2,memory-2step-stake-s,526,1716084,0.0-19.0-0.0-0.21,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,4,3
22,1,object_01,object_04,774.80000001192,2,1,344.80000001192,0.1111111111111111,2,object_06,5,339,0,1,1,desert_7,2,memory-2step-stake-s,527,1723764,0.0-19.0-0.0-0.22,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,2,1
23,1,object_01,object_04,778.80000001192,1,2,477.5,0.1111111111111111,1,object_03,5,344,0,1,1,desert_5,2,memory-2step-stake-s,528,1731577,0.0-19.0-0.0-0.23,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,2,1
24,2,object_10,object_07,654.80000001192,3,1,389.59999999404,0.1111111111111111,1,object_03,5,349,0,1,1,forest_8,2,memory-2step-stake-s,529,1739303,0.0-19.0-0.0-0.24,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,3,4
25,4,object_05,object_09,662.29999998212,8,2,511.40000000596,0.1111111111111111,2,object_06,1,350,0,2,1,restaurant_7,2,memory-2step-stake-s,530,1747157,0.0-19.0-0.0-0.25,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,7,8
26,1,object_01,object_04,470.30000001192,2,1,420.39999997616,0.3333333333333333,2,object_06,1,353,0,1,3,desert_6,2,memory-2step-stake-s,531,1755120,0.0-19.0-0.0-0.26,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,2,1
27,2,object_07,object_10,863.40000000596,3,2,352.10000002384,0.2222222222222222,1,object_03,5,363,0,2,4,forest_7,2,memory-2step-stake-s,532,1762917,0.0-19.0-0.0-0.27,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,4,3
28,4,object_05,object_09,1001.900000006,8,2,418.90000000596,0.1111111111111111,2,object_06,1,364,0,1,1,restaurant_5,2,memory-2step-stake-s,533,1770672,0.0-19.0-0.0-0.28,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,7,8
29,1,object_04,object_01,540.09999999404,1,1,573.90000000596,0.3333333333333333,1,object_03,1,367,0,3,0,desert_7,2,memory-2step-stake-s,534,1778793,0.0-19.0-0.0-0.29,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,1,2
30,2,object_10,object_07,910.59999999404,4,2,644.0,0.0,2,object_06,1,367,0,2,0,forest_5,2,memory-2step-stake-s,535,1786669,0.0-19.0-0.0-0.30,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,3,4
31,3,object_02,object_08,631.80000001192,5,1,507.59999999404,0.1111111111111111,1,object_03,1,368,0,1,0,library_8,2,memory-2step-stake-s,536,1794512,0.0-19.0-0.0-0.31,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,5,6
32,1,object_01,object_04,510.59999999404,2,1,452.80000001192,0.1111111111111111,2,object_06,5,373,0,5,1,desert_7,2,memory-2step-stake-s,537,1802302,0.0-19.0-0.0-0.32,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,2,1
33,4,object_09,object_05,958.59999999404,7,2,483.30000001192,1.0,1,object_03,5,418,0,9,1,restaurant_4,2,memory-2step-stake-s,538,1810950,0.0-19.0-0.0-0.33,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,8,7
34,4,object_09,object_05,808.70000001788,7,2,932.90000000596,0.7777777777777778,1,object_03,1,425,0,7,2,restaurant_5,2,memory-2step-stake-s,539,1819843,0.0-19.0-0.0-0.34,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,8,7
35,3,object_02,object_08,800.5,5,1,289.29999998212,0.8888888888888888,1,object_03,5,465,0,8,4,library_1,2,memory-2step-stake-s,540,1828190,0.0-19.0-0.0-0.35,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,5,6
36,3,object_08,object_02,690.09999999404,6,1,421.09999999404,0.1111111111111111,2,object_06,1,466,0,9,1,library_7,2,memory-2step-stake-s,541,1835948,0.0-19.0-0.0-0.36,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,6,5
37,2,object_10,object_07,1282.7999999821,4,2,360.5,0.1111111111111111,2,object_06,5,471,0,4,1,forest_2,2,memory-2step-stake-s,542,1843648,0.0-19.0-0.0-0.37,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,3,4
38,3,object_02,object_08,1220.0,5,1,425.09999999404,0.4444444444444444,1,object_03,5,491,0,4,1,library_8,2,memory-2step-stake-s,543,1851723,0.0-19.0-0.0-0.38,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,5,6
39,1,object_01,object_04,963.30000001192,1,2,286.59999999404,0.1111111111111111,1,object_03,5,496,0,1,1,desert_7,2,memory-2step-stake-s,544,1859339,0.0-19.0-0.0-0.39,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,2,1
40,3,object_02,object_08,935.19999998808,5,1,231.19999998808,0.2222222222222222,1,object_03,1,498,0,2,1,library_1,2,memory-2step-stake-s,545,1867007,0.0-19.0-0.0-0.40,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,5,6
41,1,object_01,object_04,893.0,1,2,422.80000001192,0.4444444444444444,1,object_03,5,518,0,4,1,desert_6,2,memory-2step-stake-s,546,1875076,0.0-19.0-0.0-0.41,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,2,1
42,2,object_10,object_07,871.59999999404,3,1,575.69999998808,0.3333333333333333,1,object_03,5,533,0,3,1,forest_7,2,memory-2step-stake-s,547,1883196,0.0-19.0-0.0-0.42,AKFOCQ8TQZDDG,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3J2UYBXQQPSVCX01TIR7FKKZFY560A,3,4
