,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_07,object_01,783.5,7,1,-1.0,0.0,1,object_03,5,0,0,0,3,restaurant_2,1,memory-2step-stake-s,499,877453,0.0-19.0-0.0-0.0,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,7,8
1,3,object_04,object_02,652.20000000298,5,1,345.89999999106,0.2222222222222222,1,object_03,5,10,0,2,1,library_7,1,memory-2step-stake-s,500,885257,0.0-19.0-0.0-0.1,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,5,6
2,3,object_04,object_02,625.79999999702,5,1,448.0,0.1111111111111111,1,object_03,5,15,0,1,0,library_4,1,memory-2step-stake-s,501,893066,0.0-19.0-0.0-0.2,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,5,6
3,3,object_02,object_04,537.59999999404,6,1,337.69999998808,0.2222222222222222,2,object_05,5,25,0,2,2,library_4,1,memory-2step-stake-s,502,900883,0.0-19.0-0.0-0.3,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,6,5
4,1,object_10,object_09,961.89999999106,1,2,315.70000000298,0.1111111111111111,1,object_03,1,26,0,1,5,desert_8,1,memory-2step-stake-s,503,908597,0.0-19.0-0.0-0.4,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,2,1
5,2,object_06,object_08,729.29999999702,3,1,284.5,0.3333333333333333,1,object_03,1,29,0,3,6,forest_7,1,memory-2step-stake-s,504,916474,0.0-19.0-0.0-0.5,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,3,4
6,3,object_04,object_02,692.5,6,2,438.19999998808,0.4444444444444444,2,object_05,5,49,0,0,4,library_3,1,memory-2step-stake-s,505,924635,0.0-19.0-0.0-0.6,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,5,6
7,3,object_02,object_04,1016.3999999911,6,1,320.89999999106,0.2222222222222222,2,object_05,5,59,0,2,2,library_3,1,memory-2step-stake-s,506,932453,0.0-19.0-0.0-0.7,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,6,5
8,2,object_08,object_06,821.70000000298,4,1,236.0,0.1111111111111111,2,object_05,1,60,0,3,1,forest_3,1,memory-2step-stake-s,507,940072,0.0-19.0-0.0-0.8,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,4,3
9,3,object_04,object_02,628.40000000596,6,2,302.60000000894,0.3333333333333333,2,object_05,5,75,0,1,3,library_6,1,memory-2step-stake-s,508,947980,0.0-19.0-0.0-0.9,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,5,6
10,4,object_01,object_07,912.59999999404,7,2,304.70000000298,0.0,1,object_03,5,75,0,0,2,restaurant_8,1,memory-2step-stake-s,509,955544,0.0-19.0-0.0-0.10,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,8,7
11,1,object_10,object_09,562.0,2,1,279.60000000894,0.1111111111111111,2,object_05,1,76,0,0,1,desert_8,1,memory-2step-stake-s,510,963203,0.0-19.0-0.0-0.11,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,2,1
12,2,object_06,object_08,815.69999998808,4,2,440.70000000298,0.1111111111111111,2,object_05,1,77,0,1,1,forest_7,1,memory-2step-stake-s,511,971009,0.0-19.0-0.0-0.12,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,3,4
13,4,object_07,object_01,815.5,8,2,260.5,0.1111111111111111,2,object_05,1,78,0,3,1,restaurant_6,1,memory-2step-stake-s,512,978619,0.0-19.0-0.0-0.13,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,7,8
14,4,object_07,object_01,590.40000000596,7,1,330.20000000298,0.3333333333333333,1,object_03,5,93,0,3,0,restaurant_2,1,memory-2step-stake-s,513,986524,0.0-19.0-0.0-0.14,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,7,8
15,1,object_09,object_10,864.60000000894,1,1,311.5,0.5555555555555556,1,object_03,5,118,0,5,4,desert_2,1,memory-2step-stake-s,514,994651,0.0-19.0-0.0-0.15,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,1,2
16,2,object_08,object_06,661.20000000298,3,2,288.20000000298,1.0,1,object_03,1,127,0,9,5,forest_3,1,memory-2step-stake-s,515,1003228,0.0-19.0-0.0-0.16,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,4,3
17,2,object_06,object_08,561.10000000894,4,2,253.09999999404,0.3333333333333333,2,object_05,1,130,0,8,3,forest_8,1,memory-2step-stake-s,516,1011091,0.0-19.0-0.0-0.17,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,3,4
18,4,object_07,object_01,733.70000000298,7,1,249.60000000894,0.8888888888888888,1,object_03,5,170,0,8,2,restaurant_2,1,memory-2step-stake-s,517,1019503,0.0-19.0-0.0-0.18,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,7,8
19,4,object_01,object_07,894.0,8,1,272.20000000298,0.1111111111111111,2,object_05,1,171,0,8,1,restaurant_5,1,memory-2step-stake-s,518,1027161,0.0-19.0-0.0-0.19,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,8,7
20,3,object_02,object_04,794.60000000894,5,2,295.40000000596,0.7777777777777778,1,object_03,5,206,0,7,2,library_3,1,memory-2step-stake-s,519,1035523,0.0-19.0-0.0-0.20,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,6,5
21,4,object_07,object_01,1326.400000006,7,1,322.40000000596,0.6666666666666666,1,object_03,1,212,0,6,0,restaurant_5,1,memory-2step-stake-s,520,1043752,0.0-19.0-0.0-0.21,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,7,8
22,2,object_06,object_08,1018.200000003,3,1,282.5,0.5555555555555556,1,object_03,1,217,0,5,3,forest_7,1,memory-2step-stake-s,521,1051857,0.0-19.0-0.0-0.22,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,3,4
23,1,object_09,object_10,847.79999999702,2,2,338.5,0.5555555555555556,2,object_05,1,222,0,3,5,desert_5,1,memory-2step-stake-s,522,1059993,0.0-19.0-0.0-0.23,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,1,2
24,2,object_08,object_06,908.79999999702,4,1,313.0,0.8888888888888888,2,object_05,1,230,0,5,8,forest_7,1,memory-2step-stake-s,523,1068429,0.0-19.0-0.0-0.24,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,4,3
25,4,object_07,object_01,1340.799999997,8,2,346.39999999106,0.8888888888888888,2,object_05,5,270,0,3,8,restaurant_8,1,memory-2step-stake-s,524,1076948,0.0-19.0-0.0-0.25,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,7,8
26,1,object_10,object_09,823.59999999404,1,2,344.29999999702,0.2222222222222222,1,object_03,5,280,0,2,9,desert_8,1,memory-2step-stake-s,525,1084782,0.0-19.0-0.0-0.26,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,2,1
27,1,object_09,object_10,592.5,1,1,299.40000000596,0.6666666666666666,1,object_03,5,310,0,6,6,desert_8,1,memory-2step-stake-s,526,1093000,0.0-19.0-0.0-0.27,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,1,2
28,3,object_04,object_02,803.09999999404,6,2,401.09999999404,0.6666666666666666,2,object_05,1,316,0,6,6,library_6,1,memory-2step-stake-s,527,1101323,0.0-19.0-0.0-0.28,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,5,6
29,1,object_09,object_10,827.80000001192,2,2,506.10000000894,0.4444444444444444,2,object_05,1,320,0,9,4,desert_5,1,memory-2step-stake-s,528,1109563,0.0-19.0-0.0-0.29,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,1,2
30,2,object_06,object_08,656.29999999702,4,2,914.60000000894,0.4444444444444444,2,object_05,1,324,0,6,4,forest_3,1,memory-2step-stake-s,529,1118215,0.0-19.0-0.0-0.30,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,3,4
31,1,object_09,object_10,676.79999999702,1,1,398.29999999702,0.7777777777777778,1,object_03,1,331,0,7,2,desert_8,1,memory-2step-stake-s,530,1126688,0.0-19.0-0.0-0.31,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,1,2
32,2,object_08,object_06,486.09999999404,3,2,296.90000000596,0.6666666666666666,1,object_03,1,337,0,6,1,forest_8,1,memory-2step-stake-s,531,1134900,0.0-19.0-0.0-0.32,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,4,3
33,4,object_07,object_01,912.09999999404,8,2,276.39999999106,0.0,2,object_05,5,337,0,7,0,restaurant_5,1,memory-2step-stake-s,532,1142445,0.0-19.0-0.0-0.33,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,7,8
34,4,object_01,object_07,632.40000000596,7,2,302.20000000298,0.7777777777777778,1,object_03,5,372,0,7,1,restaurant_6,1,memory-2step-stake-s,533,1150741,0.0-19.0-0.0-0.34,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,8,7
35,4,object_01,object_07,904.0,7,2,349.5,0.5555555555555556,1,object_03,1,377,0,5,3,restaurant_5,1,memory-2step-stake-s,534,1158901,0.0-19.0-0.0-0.35,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,8,7
36,3,object_04,object_02,598.19999998808,6,2,275.70000000298,0.2222222222222222,2,object_05,5,387,0,4,2,library_3,1,memory-2step-stake-s,535,1166673,0.0-19.0-0.0-0.36,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,5,6
37,4,object_07,object_01,987.60000000894,7,1,359.59999999404,0.6666666666666666,1,object_03,1,393,0,6,3,restaurant_6,1,memory-2step-stake-s,536,1174928,0.0-19.0-0.0-0.37,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,7,8
38,1,object_09,object_10,747.0,1,1,382.0,0.4444444444444444,1,object_03,1,397,0,4,1,desert_5,1,memory-2step-stake-s,537,1182989,0.0-19.0-0.0-0.38,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,1,2
39,4,object_07,object_01,751.29999999702,8,2,399.29999999702,0.1111111111111111,2,object_05,5,402,0,1,1,restaurant_8,1,memory-2step-stake-s,538,1190796,0.0-19.0-0.0-0.39,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,7,8
40,2,object_08,object_06,724.10000000894,4,1,103.90000000596,0.1111111111111111,2,object_05,5,407,0,1,1,forest_3,1,memory-2step-stake-s,539,1198292,0.0-19.0-0.0-0.40,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,4,3
41,2,object_06,object_08,746.40000000596,3,1,235.90000000596,0.8888888888888888,1,object_03,5,447,0,8,2,forest_3,1,memory-2step-stake-s,540,1206646,0.0-19.0-0.0-0.41,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,3,4
42,4,object_07,object_01,877.10000000894,8,2,145.30000001192,0.2222222222222222,2,object_05,5,457,0,5,2,restaurant_5,1,memory-2step-stake-s,541,1214256,0.0-19.0-0.0-0.42,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,7,8
43,4,object_01,object_07,688.60000000894,7,2,55.399999991059,0.8888888888888888,1,object_03,5,497,0,8,2,restaurant_2,1,memory-2step-stake-s,542,1222461,0.0-19.0-0.0-0.43,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,8,7
44,4,object_01,object_07,709.5,7,2,151.10000000894,0.5555555555555556,1,object_03,5,522,0,5,2,restaurant_5,1,memory-2step-stake-s,543,1230381,0.0-19.0-0.0-0.44,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,8,7
45,4,object_07,object_01,741.70000000298,8,2,81.40000000596,0.3333333333333333,2,object_05,5,537,0,5,3,restaurant_5,1,memory-2step-stake-s,544,1238032,0.0-19.0-0.0-0.45,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,7,8
46,1,object_09,object_10,858.39999999106,2,2,343.60000000894,0.0,2,object_05,1,537,0,6,0,desert_2,1,memory-2step-stake-s,545,1245639,0.0-19.0-0.0-0.46,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,1,2
47,3,object_04,object_02,718.59999999404,5,1,223.39999999106,0.3333333333333333,1,object_03,5,552,0,3,5,library_7,1,memory-2step-stake-s,546,1253442,0.0-19.0-0.0-0.47,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,5,6
48,3,object_02,object_04,899.59999999404,6,1,322.80000001192,0.5555555555555556,2,object_05,1,557,0,3,5,library_3,1,memory-2step-stake-s,547,1261581,0.0-19.0-0.0-0.48,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,6,5
49,2,object_06,object_08,909.20000000298,3,1,190.60000000894,0.1111111111111111,1,object_03,1,558,0,1,5,forest_8,1,memory-2step-stake-s,548,1269137,0.0-19.0-0.0-0.49,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,3,4
50,1,object_09,object_10,1057.3999999911,1,1,318.19999998808,0.4444444444444444,1,object_03,5,578,0,4,4,desert_2,1,memory-2step-stake-s,549,1277156,0.0-19.0-0.0-0.50,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,1,2
51,3,object_04,object_02,787.69999998808,5,1,389.5,0.1111111111111111,1,object_03,5,583,0,1,2,library_3,1,memory-2step-stake-s,550,1284934,0.0-19.0-0.0-0.51,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,5,6
52,1,object_10,object_09,908.5,2,1,249.5,0.1111111111111111,2,object_05,5,588,0,1,1,desert_2,1,memory-2step-stake-s,551,1292582,0.0-19.0-0.0-0.52,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,2,1
53,4,object_01,object_07,825.20000000298,8,1,356.10000000894,0.2222222222222222,2,object_05,5,598,0,4,2,restaurant_5,1,memory-2step-stake-s,552,1300412,0.0-19.0-0.0-0.53,A38GFVEBNQNSUJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3F6KKYWMNFHXI27N4B1JW2Q44E5NDY,8,7
